Region,Sales
Western Europe,1731929.6685
Central America,1223100.62816
Oceania,1100184.612
Southeastern Asia,884423.169
Southern Asia,866572.677
Eastern Asia,855059.391
Western US,725457.8245
Eastern US,678781.24
Northern Europe,636779.157
South America,617223.67788
Southern Europe,608593.968
Central US,501239.8908
Southern US,391721.905
Caribbean,324280.86104
Western Asia,317106.96
Eastern Europe,310033.44
North Africa,233216.61000000002
Western Africa,173878.812
Central Africa,143630.01
Eastern Africa,127856.019
Southern Africa,105191.76
Canada,66928.17
Central Asia,19311.459
